date,advance_purchase_days,composite_score,ota_premium_pct
2026-08-31,1,14641.69,0.0
2026-08-31,7,10960.78,0.0
2026-08-31,15,11370.16,0.0
2026-08-31,30,11203.5,0.0
2026-08-31,45,11463.94,0.0
2026-09-01,1,13678.39,0.0
2026-09-01,7,9567.22,0.0
2026-09-01,15,9629.28,0.0
2026-09-01,30,10098.78,0.0
2026-09-01,45,11254.89,0.0
2026-09-02,1,11262.5,0.0
2026-09-02,7,9145.86,0.0
2026-09-02,15,9323.33,0.0
2026-09-02,30,9195.72,0.0
2026-09-02,45,11246.67,0.0
2026-09-03,1,12374.86,0.0
2026-09-03,7,10641.68,0.0
2026-09-03,15,9572.57,0.0
2026-09-03,30,9945.64,0.0
2026-09-03,45,11889.94,0.0
2026-09-04,1,16102.47,inf
2026-09-04,7,13568.36,-99.99
2026-09-04,15,9839.06,0.0
2026-09-04,30,9626.5,0.0
2026-09-04,45,11702.89,0.0
2026-09-05,1,16338.72,-51.89
2026-09-05,7,11226.83,0.0
2026-09-05,15,10662.06,0.0
2026-09-05,30,8194.94,0.0
2026-09-05,45,8525.44,-61.03
2026-09-06,1,13700.72,0.0
2026-09-06,7,11942.78,0.0
2026-09-06,15,9784.83,0.0
2026-09-06,30,10590.06,0.0
2026-09-06,45,10092.94,0.0
2026-09-07,1,12088.72,0.0
2026-09-07,7,8704.64,0.0
2026-09-07,15,9257.44,0.0
2026-09-07,30,8636.75,0.0
2026-09-07,45,11328.61,0.0
2026-09-08,1,12246.0,0.0
2026-09-08,7,9160.06,0.0
2026-09-08,15,7811.39,0.0
2026-09-08,30,9122.22,0.0
2026-09-08,45,10068.75,0.0
2026-09-09,1,11987.75,3.68
2026-09-09,7,9929.42,-4.68
2026-09-09,15,9237.78,8.73
2026-09-09,30,10206.0,4.13
2026-09-09,45,11649.97,-8.65
2026-09-10,1,16925.67,-61.9
2026-09-10,7,8844.17,-58.69
2026-09-10,15,8703.5,-44.22
2026-09-10,30,9445.28,-59.14
2026-09-10,45,12363.33,-46.62
2026-09-11,1,12747.31,0.0
2026-09-11,7,9668.53,0.0
2026-09-11,15,9658.5,0.0
2026-09-11,30,10311.44,0.0
2026-09-11,45,12187.0,0.0
2026-09-12,1,11912.89,0.0
2026-09-12,7,9714.89,0.0
2026-09-12,15,9699.39,0.0
2026-09-12,30,10076.75,0.0
2026-09-12,45,10496.33,0.0
2026-09-13,1,10336.39,0.0
2026-09-13,7,10065.92,0.0
2026-09-13,15,9302.11,0.0
2026-09-13,30,9585.89,0.0
2026-09-13,45,10101.78,0.0
