origin,destination,carrier_code,carrier_name,flight_num,travel_date,advance_purchase_days,fare_class,base_fare,taxes_and_fees,total_fare,fare_split_estimated,departure_time,status,scraped_at,capture_run,source,source_name
DEL,BOM,SG,SpiceJet,SG 162,2026-09-07,1,economy,,,218.0,False,19:55,parse_error,2026-09-06T21:50:23.120034+05:30,2026-09-06_2150IST,ota,MakeMyTrip
DEL,BOM,SG,SpiceJet,SG 802,2026-09-07,1,economy,,,218.0,False,22:30,parse_error,2026-09-06T21:50:23.120034+05:30,2026-09-06_2150IST,ota,MakeMyTrip
DEL,BOM,6E,IndiGo,6E 6190,2026-09-07,1,economy,,,109.0,False,07:40,parse_error,2026-09-06T21:50:23.120034+05:30,2026-09-06_2150IST,ota,MakeMyTrip
DEL,BOM,6E,IndiGo,6E 5298,2026-09-07,1,economy,,,,False,09:00,parse_error,2026-09-06T21:50:23.120034+05:30,2026-09-06_2150IST,ota,MakeMyTrip
DEL,BOM,6E,IndiGo,6E 6443,2026-09-07,1,economy,,,,False,09:00,parse_error,2026-09-06T21:50:23.120034+05:30,2026-09-06_2150IST,ota,MakeMyTrip
DEL,BOM,6E,IndiGo,6E 6829,2026-09-07,1,economy,,,272.0,False,17:20,parse_error,2026-09-06T21:50:23.120034+05:30,2026-09-06_2150IST,ota,MakeMyTrip
DEL,BOM,6E,IndiGo,6E 5038,2026-09-07,1,economy,,,,False,14:00,parse_error,2026-09-06T21:50:23.120034+05:30,2026-09-06_2150IST,ota,MakeMyTrip
DEL,BOM,6E,IndiGo,6E 5206,2026-09-07,1,economy,,,,False,13:20,parse_error,2026-09-06T21:50:23.120034+05:30,2026-09-06_2150IST,ota,MakeMyTrip
DEL,BOM,6E,IndiGo,6E 2151,2026-09-07,1,economy,,,109.0,False,19:45,parse_error,2026-09-06T21:50:23.120034+05:30,2026-09-06_2150IST,ota,MakeMyTrip
DEL,BOM,6E,IndiGo,6E 5096,2026-09-07,1,economy,,,136.0,False,17:00,parse_error,2026-09-06T21:50:23.120034+05:30,2026-09-06_2150IST,ota,MakeMyTrip
DEL,BOM,6E,IndiGo,6E 324,2026-09-07,1,economy,,,,False,13:00,parse_error,2026-09-06T21:50:23.120034+05:30,2026-09-06_2150IST,ota,MakeMyTrip
DEL,BOM,6E,IndiGo,6E 6676,2026-09-07,1,economy,,,,False,12:00,parse_error,2026-09-06T21:50:23.120034+05:30,2026-09-06_2150IST,ota,MakeMyTrip
DEL,BOM,QP,Akasa Air,QP 1836,2026-09-07,1,economy,,,136.0,False,12:30,parse_error,2026-09-06T21:50:23.120034+05:30,2026-09-06_2150IST,ota,MakeMyTrip
DEL,BOM,QP,Akasa Air,QP 1128,2026-09-07,1,economy,,,,False,16:00,parse_error,2026-09-06T21:50:23.120034+05:30,2026-09-06_2150IST,ota,MakeMyTrip
