origin,destination,carrier_code,carrier_name,flight_num,travel_date,advance_purchase_days,fare_class,base_fare,taxes_and_fees,total_fare,fare_split_estimated,departure_time,status,scraped_at,capture_run,source,source_name
MAA,DEL,SG,SpiceJet,unknown,2026-09-08,1,unknown,,,,False,unknown,parse_error,2026-09-07T12:08:15.535913+05:30,2026-09-07_1208IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 802,2026-09-14,7,economy,,,8849.0,False,22:30,ok,2026-09-07T12:09:06.449990+05:30,2026-09-07_1208IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 802,2026-09-14,7,economy,,,9269.0,False,22:30,ok,2026-09-07T12:09:06.449990+05:30,2026-09-07_1208IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 802,2026-09-14,7,economy,,,10161.0,False,22:30,ok,2026-09-07T12:09:06.449990+05:30,2026-09-07_1208IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 162,2026-09-14,7,economy,,,18047.0,False,19:55,ok,2026-09-07T12:09:06.449990+05:30,2026-09-07_1208IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 162,2026-09-14,7,economy,,,18467.0,False,19:55,ok,2026-09-07T12:09:06.449990+05:30,2026-09-07_1208IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 162,2026-09-14,7,economy,,,19359.0,False,19:55,ok,2026-09-07T12:09:06.449990+05:30,2026-09-07_1208IST,airline_direct,SpiceJet
DEL,BLR,SG,SpiceJet,unknown,2026-09-14,7,unknown,,,,False,unknown,no_flights,2026-09-07T12:09:56.678426+05:30,2026-09-07_1208IST,airline_direct,SpiceJet
BOM,BLR,SG,SpiceJet,unknown,2026-09-14,7,unknown,,,,False,unknown,no_flights,2026-09-07T12:10:45.804507+05:30,2026-09-07_1208IST,airline_direct,SpiceJet
DEL,CCU,SG,SpiceJet,unknown,2026-09-14,7,unknown,,,,False,unknown,no_flights,2026-09-07T12:11:37.008698+05:30,2026-09-07_1208IST,airline_direct,SpiceJet
BLR,HYD,SG,SpiceJet,unknown,2026-09-14,7,unknown,,,,False,unknown,no_flights,2026-09-07T12:12:32.635177+05:30,2026-09-07_1208IST,airline_direct,SpiceJet
MAA,DEL,SG,SpiceJet,unknown,2026-09-14,7,unknown,,,,False,unknown,no_flights,2026-09-07T12:13:29.926330+05:30,2026-09-07_1208IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 162,2026-09-22,15,economy,,,7469.0,False,19:55,ok,2026-09-07T12:14:22.678294+05:30,2026-09-07_1208IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 162,2026-09-22,15,economy,,,7889.0,False,19:55,ok,2026-09-07T12:14:22.678294+05:30,2026-09-07_1208IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 162,2026-09-22,15,economy,,,8781.0,False,19:55,ok,2026-09-07T12:14:22.678294+05:30,2026-09-07_1208IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 802,2026-09-22,15,economy,,,7469.0,False,22:30,ok,2026-09-07T12:14:22.678294+05:30,2026-09-07_1208IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 802,2026-09-22,15,economy,,,7889.0,False,22:30,ok,2026-09-07T12:14:22.678294+05:30,2026-09-07_1208IST,airline_direct,SpiceJet
DEL,BOM,SG,SpiceJet,SG 802,2026-09-22,15,economy,,,8781.0,False,22:30,ok,2026-09-07T12:14:22.678294+05:30,2026-09-07_1208IST,airline_direct,SpiceJet
