origin,destination,carrier_code,carrier_name,flight_num,travel_date,advance_purchase_days,fare_class,base_fare,taxes_and_fees,total_fare,fare_split_estimated,departure_time,status,scraped_at,capture_run
DEL,BLR,QP,Akasa Air,QP1350,2026-09-10,1,economy,7916.0,913.0,8829.0,True,21:55,ok,2026-09-09T19:08:28.912595+05:30,2026-09-09_1908IST
DEL,BLR,QP,Akasa Air,QP1812,2026-09-10,1,economy,7916.0,913.0,8829.0,True,22:55,ok,2026-09-09T19:08:28.912595+05:30,2026-09-09_1908IST
DEL,BLR,QP,Akasa Air,QP1822,2026-09-10,1,economy,8229.0,929.0,9158.0,True,16:40,ok,2026-09-09T19:08:28.912595+05:30,2026-09-09_1908IST
DEL,BLR,QP,Akasa Air,QP1308,2026-09-10,1,economy,8556.0,945.0,9501.0,True,20:55,ok,2026-09-09T19:08:28.912595+05:30,2026-09-09_1908IST
DEL,BLR,QP,Akasa Air,QP1824,2026-09-10,1,economy,8726.0,954.0,9680.0,True,20:10,ok,2026-09-09T19:08:28.912595+05:30,2026-09-09_1908IST
BOM,BLR,QP,Akasa Air,QP1516,2026-09-10,1,economy,4317.0,733.0,5050.0,True,00:40,ok,2026-09-09T19:10:01.493734+05:30,2026-09-09_1910IST
BOM,BLR,QP,Akasa Air,QP1149,2026-09-10,1,economy,5588.0,797.0,6385.0,True,05:30,ok,2026-09-09T19:10:01.493734+05:30,2026-09-09_1910IST
BOM,BLR,QP,Akasa Air,QP1133,2026-09-10,1,economy,6645.0,850.0,7495.0,True,19:40,ok,2026-09-09T19:10:01.493734+05:30,2026-09-09_1910IST
BOM,BLR,QP,Akasa Air,QP1527,2026-09-10,1,economy,9023.0,968.0,9991.0,True,07:35,ok,2026-09-09T19:10:01.493734+05:30,2026-09-09_1910IST
BOM,BLR,QP,Akasa Air,QP1518,2026-09-10,1,economy,18267.0,1431.0,19698.0,True,21:45,ok,2026-09-09T19:10:01.493734+05:30,2026-09-09_1910IST
BOM,BLR,QP,Akasa Air,QP1382,2026-09-10,1,economy,19619.0,1498.0,21117.0,True,18:20,ok,2026-09-09T19:10:01.493734+05:30,2026-09-09_1910IST
DEL,CCU,QP,Akasa Air,error,2026-09-10,1,economy,,,,False,unknown,error,2026-09-09T19:11:39.783873+05:30,2026-09-09_1911IST
BLR,HYD,QP,Akasa Air,unknown,2026-09-10,1,economy,,,,False,unknown,no_flights_or_timeout,2026-09-09T19:12:17.836596+05:30,2026-09-09_1912IST
MAA,DEL,QP,Akasa Air,unknown,2026-09-10,1,economy,,,,False,unknown,no_flights_or_timeout,2026-09-09T19:13:48.511616+05:30,2026-09-09_1913IST
DEL,BOM,QP,Akasa Air,QP1119,2026-09-16,7,economy,5726.0,804.0,6530.0,True,08:40,ok,2026-09-09T19:15:17.706063+05:30,2026-09-09_1915IST
DEL,BOM,QP,Akasa Air,QP1112,2026-09-16,7,economy,5726.0,804.0,6530.0,True,09:20,ok,2026-09-09T19:15:17.706063+05:30,2026-09-09_1915IST
DEL,BOM,QP,Akasa Air,QP1110,2026-09-16,7,economy,5726.0,804.0,6530.0,True,10:30,ok,2026-09-09T19:15:17.706063+05:30,2026-09-09_1915IST
DEL,BOM,QP,Akasa Air,QP1836,2026-09-16,7,economy,5726.0,804.0,6530.0,True,12:30,ok,2026-09-09T19:15:17.706063+05:30,2026-09-09_1915IST
DEL,BOM,QP,Akasa Air,QP1128,2026-09-16,7,economy,5726.0,804.0,6530.0,True,16:00,ok,2026-09-09T19:15:17.706063+05:30,2026-09-09_1915IST
DEL,BOM,QP,Akasa Air,QP1820,2026-09-16,7,economy,5726.0,804.0,6530.0,True,17:30,ok,2026-09-09T19:15:17.706063+05:30,2026-09-09_1915IST
DEL,BOM,QP,Akasa Air,QP1826,2026-09-16,7,economy,5916.0,813.0,6729.0,True,19:55,ok,2026-09-09T19:15:17.706063+05:30,2026-09-09_1915IST
DEL,BOM,QP,Akasa Air,QP1833,2026-09-16,7,economy,6152.0,825.0,6977.0,True,06:50,ok,2026-09-09T19:15:17.706063+05:30,2026-09-09_1915IST
DEL,BLR,QP,Akasa Air,QP1912,2026-09-16,7,economy,7916.0,913.0,8829.0,True,14:55,ok,2026-09-09T19:16:55.237464+05:30,2026-09-09_1916IST
DEL,BLR,QP,Akasa Air,QP1822,2026-09-16,7,economy,7916.0,913.0,8829.0,True,16:40,ok,2026-09-09T19:16:55.237464+05:30,2026-09-09_1916IST
DEL,BLR,QP,Akasa Air,QP1824,2026-09-16,7,economy,7916.0,913.0,8829.0,True,20:10,ok,2026-09-09T19:16:55.237464+05:30,2026-09-09_1916IST
DEL,BLR,QP,Akasa Air,QP1308,2026-09-16,7,economy,7916.0,913.0,8829.0,True,20:55,ok,2026-09-09T19:16:55.237464+05:30,2026-09-09_1916IST
DEL,BLR,QP,Akasa Air,QP1350,2026-09-16,7,economy,7916.0,913.0,8829.0,True,21:55,ok,2026-09-09T19:16:55.237464+05:30,2026-09-09_1916IST
BOM,BLR,QP,Akasa Air,QP1516,2026-09-16,7,economy,4910.0,763.0,5673.0,True,00:35,ok,2026-09-09T19:18:28.190814+05:30,2026-09-09_1918IST
BOM,BLR,QP,Akasa Air,QP1985,2026-09-16,7,economy,5835.0,809.0,6644.0,True,23:20,ok,2026-09-09T19:18:28.190814+05:30,2026-09-09_1918IST
BOM,BLR,QP,Akasa Air,QP1518,2026-09-16,7,economy,6092.0,822.0,6914.0,True,21:45,ok,2026-09-09T19:18:28.190814+05:30,2026-09-09_1918IST
BOM,BLR,QP,Akasa Air,QP1384,2026-09-16,7,economy,6092.0,822.0,6914.0,True,23:10,ok,2026-09-09T19:18:28.190814+05:30,2026-09-09_1918IST
BOM,BLR,QP,Akasa Air,QP1133,2026-09-16,7,economy,6645.0,850.0,7495.0,True,19:40,ok,2026-09-09T19:18:28.190814+05:30,2026-09-09_1918IST
BOM,BLR,QP,Akasa Air,QP1149,2026-09-16,7,economy,7250.0,880.0,8130.0,True,05:30,ok,2026-09-09T19:18:28.190814+05:30,2026-09-09_1918IST
BOM,BLR,QP,Akasa Air,QP1382,2026-09-16,7,economy,7250.0,880.0,8130.0,True,18:25,ok,2026-09-09T19:18:28.190814+05:30,2026-09-09_1918IST
BOM,BLR,QP,Akasa Air,QP1129,2026-09-16,7,economy,7912.0,913.0,8825.0,True,08:45,ok,2026-09-09T19:18:28.190814+05:30,2026-09-09_1918IST
BOM,BLR,QP,Akasa Air,QP1527,2026-09-16,7,economy,9426.0,989.0,10415.0,True,07:35,ok,2026-09-09T19:18:28.190814+05:30,2026-09-09_1918IST
DEL,CCU,QP,Akasa Air,error,2026-09-16,7,economy,,,,False,unknown,error,2026-09-09T19:20:01.579219+05:30,2026-09-09_1920IST
BLR,HYD,QP,Akasa Air,error,2026-09-16,7,economy,,,,False,unknown,error,2026-09-09T19:20:50.849357+05:30,2026-09-09_1920IST
MAA,DEL,QP,Akasa Air,unknown,2026-09-16,7,economy,,,,False,unknown,no_flights_or_timeout,2026-09-09T19:21:35.055782+05:30,2026-09-09_1921IST
DEL,BOM,QP,Akasa Air,error,2026-09-24,15,economy,,,,False,unknown,error,2026-09-09T19:23:04.704886+05:30,2026-09-09_1923IST
DEL,BLR,QP,Akasa Air,QP1824,2026-09-24,15,economy,7916.0,913.0,8829.0,True,20:10,ok,2026-09-09T19:23:49.417396+05:30,2026-09-09_1923IST
DEL,BLR,QP,Akasa Air,QP1308,2026-09-24,15,economy,7916.0,913.0,8829.0,True,20:55,ok,2026-09-09T19:23:49.417396+05:30,2026-09-09_1923IST
DEL,BLR,QP,Akasa Air,QP1350,2026-09-24,15,economy,7916.0,913.0,8829.0,True,21:55,ok,2026-09-09T19:23:49.417396+05:30,2026-09-09_1923IST
DEL,BLR,QP,Akasa Air,QP1812,2026-09-24,15,economy,7916.0,913.0,8829.0,True,22:55,ok,2026-09-09T19:23:49.417396+05:30,2026-09-09_1923IST
BOM,BLR,QP,Akasa Air,error,2026-09-24,15,economy,,,,False,unknown,error,2026-09-09T19:25:22.398557+05:30,2026-09-09_1925IST
DEL,CCU,QP,Akasa Air,QP1801,2026-09-24,15,economy,7180.0,876.0,8056.0,True,05:55,ok,2026-09-09T19:26:12.260113+05:30,2026-09-09_1926IST
DEL,CCU,QP,Akasa Air,QP1803,2026-09-24,15,economy,7180.0,876.0,8056.0,True,17:05,ok,2026-09-09T19:26:12.260113+05:30,2026-09-09_1926IST
BLR,HYD,QP,Akasa Air,unknown,2026-09-24,15,economy,,,,False,unknown,no_flights_or_timeout,2026-09-09T19:27:42.660280+05:30,2026-09-09_1927IST
MAA,DEL,QP,Akasa Air,unknown,2026-09-24,15,economy,,,,False,unknown,no_flights_or_timeout,2026-09-09T19:29:10.303034+05:30,2026-09-09_1929IST
DEL,BOM,QP,Akasa Air,QP1833,2026-10-09,30,economy,5726.0,804.0,6530.0,True,06:50,ok,2026-09-09T19:30:41.111596+05:30,2026-09-09_1930IST
DEL,BOM,QP,Akasa Air,QP1119,2026-10-09,30,economy,5726.0,804.0,6530.0,True,08:40,ok,2026-09-09T19:30:41.111596+05:30,2026-09-09_1930IST
DEL,BOM,QP,Akasa Air,QP1110,2026-10-09,30,economy,5726.0,804.0,6530.0,True,10:00,ok,2026-09-09T19:30:41.111596+05:30,2026-09-09_1930IST
DEL,BOM,QP,Akasa Air,QP1128,2026-10-09,30,economy,5726.0,804.0,6530.0,True,16:00,ok,2026-09-09T19:30:41.111596+05:30,2026-09-09_1930IST
DEL,BOM,QP,Akasa Air,QP1820,2026-10-09,30,economy,5726.0,804.0,6530.0,True,17:30,ok,2026-09-09T19:30:41.111596+05:30,2026-09-09_1930IST
DEL,BOM,QP,Akasa Air,QP1826,2026-10-09,30,economy,5726.0,804.0,6530.0,True,19:55,ok,2026-09-09T19:30:41.111596+05:30,2026-09-09_1930IST
DEL,BLR,QP,Akasa Air,QP1822,2026-10-09,30,economy,7916.0,913.0,8829.0,True,16:40,ok,2026-09-09T19:32:13.007366+05:30,2026-09-09_1932IST
DEL,BLR,QP,Akasa Air,QP1350,2026-10-09,30,economy,7916.0,913.0,8829.0,True,21:55,ok,2026-09-09T19:32:13.007366+05:30,2026-09-09_1932IST
DEL,BLR,QP,Akasa Air,QP1812,2026-10-09,30,economy,7916.0,913.0,8829.0,True,22:55,ok,2026-09-09T19:32:13.007366+05:30,2026-09-09_1932IST
DEL,BLR,QP,Akasa Air,QP1574,2026-10-09,30,economy,8229.0,929.0,9158.0,True,14:10,ok,2026-09-09T19:32:13.007366+05:30,2026-09-09_1932IST
DEL,BLR,QP,Akasa Air,QP1824,2026-10-09,30,economy,10814.0,1058.0,11872.0,True,20:50,ok,2026-09-09T19:32:13.007366+05:30,2026-09-09_1932IST
BOM,BLR,QP,Akasa Air,error,2026-10-09,30,economy,,,,False,unknown,error,2026-09-09T19:33:42.979985+05:30,2026-09-09_1933IST
DEL,CCU,QP,Akasa Air,error,2026-10-09,30,economy,,,,False,unknown,error,2026-09-09T19:34:21.501761+05:30,2026-09-09_1934IST
BLR,HYD,QP,Akasa Air,unknown,2026-10-09,30,economy,,,,False,unknown,no_flights_or_timeout,2026-09-09T19:35:33.508963+05:30,2026-09-09_1935IST
MAA,DEL,QP,Akasa Air,error,2026-10-09,30,economy,,,,False,unknown,error,2026-09-09T19:37:01.767944+05:30,2026-09-09_1937IST
DEL,BOM,QP,Akasa Air,error,2026-10-24,45,economy,,,,False,unknown,error,2026-09-09T19:37:48.286286+05:30,2026-09-09_1937IST
DEL,BLR,QP,Akasa Air,QP1812,2026-10-24,45,economy,10198.0,1027.0,11225.0,True,22:55,ok,2026-09-09T19:39:06.331490+05:30,2026-09-09_1939IST
DEL,BLR,QP,Akasa Air,QP1822,2026-10-24,45,economy,11694.0,1102.0,12796.0,True,16:40,ok,2026-09-09T19:39:06.331490+05:30,2026-09-09_1939IST
DEL,BLR,QP,Akasa Air,QP1824,2026-10-24,45,economy,11694.0,1102.0,12796.0,True,20:50,ok,2026-09-09T19:39:06.331490+05:30,2026-09-09_1939IST
DEL,BLR,QP,Akasa Air,QP1350,2026-10-24,45,economy,12647.0,1150.0,13797.0,True,21:55,ok,2026-09-09T19:39:06.331490+05:30,2026-09-09_1939IST
BOM,BLR,QP,Akasa Air,QP1516,2026-10-24,45,economy,4910.0,763.0,5673.0,True,00:40,ok,2026-09-09T19:40:33.965316+05:30,2026-09-09_1940IST
BOM,BLR,QP,Akasa Air,QP1518,2026-10-24,45,economy,6364.0,835.0,7199.0,True,21:45,ok,2026-09-09T19:40:33.965316+05:30,2026-09-09_1940IST
BOM,BLR,QP,Akasa Air,QP1133,2026-10-24,45,economy,7250.0,880.0,8130.0,True,20:05,ok,2026-09-09T19:40:33.965316+05:30,2026-09-09_1940IST
DEL,CCU,QP,Akasa Air,QP1801,2026-10-24,45,economy,13226.0,1179.0,14405.0,True,05:55,ok,2026-09-09T19:42:12.786206+05:30,2026-09-09_1942IST
DEL,CCU,QP,Akasa Air,QP1803,2026-10-24,45,economy,14908.0,1263.0,16171.0,True,17:00,ok,2026-09-09T19:42:12.786206+05:30,2026-09-09_1942IST
BLR,HYD,QP,Akasa Air,unknown,2026-10-24,45,economy,,,,False,unknown,no_flights_or_timeout,2026-09-09T19:43:42.904430+05:30,2026-09-09_1943IST
MAA,DEL,QP,Akasa Air,unknown,2026-10-24,45,economy,,,,False,unknown,no_flights_or_timeout,2026-09-09T19:45:21.867267+05:30,2026-09-09_1945IST
